task_id,base_task_id,trial,agent,task_type,raw_success,guarded_success,raw_touched_files,guarded_touched_files,raw_unnecessary_file_edits,guarded_unnecessary_file_edits,raw_tests_passed,guarded_tests_passed,raw_human_corrections,guarded_human_corrections,raw_prompt_tokens,guarded_prompt_tokens,raw_input_tokens,guarded_input_tokens,raw_cached_input_tokens,guarded_cached_input_tokens,raw_output_tokens,guarded_output_tokens,raw_total_tokens,guarded_total_tokens,raw_tool_calls,guarded_tool_calls,raw_duration_seconds,guarded_duration_seconds,notes
paired-001-trial-01,paired-001,1,codex-local-exec,math-bugfix,true,true,1,1,0,0,true,true,0,0,5,48,189591,205443,161792,163840,1085,1429,190676,206872,7,8,54.41,64.11,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-001-trial-02,paired-001,2,codex-local-exec,math-bugfix,true,true,1,1,0,0,true,true,0,0,5,48,205912,149174,174080,132352,1096,1102,207008,150276,8,6,51.08,53.8,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-001-trial-03,paired-001,3,codex-local-exec,math-bugfix,true,true,1,1,0,0,true,true,0,0,5,48,157472,159073,136448,143616,863,1333,158335,160406,6,6,44.22,56.36,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-002-trial-01,paired-002,1,codex-local-exec,string-bugfix,true,true,1,1,0,0,true,true,0,0,7,50,164721,171598,143616,152576,932,1279,165653,172877,6,7,50.97,54.84,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-002-trial-02,paired-002,2,codex-local-exec,string-bugfix,true,true,1,1,0,0,true,true,0,0,7,50,209141,171968,187136,160768,1147,1112,210288,173080,8,7,60.0,53.53,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-002-trial-03,paired-002,3,codex-local-exec,string-bugfix,true,true,1,1,0,0,true,true,0,0,7,50,164767,189372,143616,142592,999,1378,165766,190750,6,7,47.98,57.62,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-003-trial-01,paired-003,1,codex-local-exec,parser-bugfix,true,true,1,1,0,0,true,true,0,0,4,47,164752,115615,143616,64768,1112,1206,165864,116821,6,4,57.7,49.45,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-003-trial-02,paired-003,2,codex-local-exec,parser-bugfix,true,true,1,1,0,0,true,true,0,0,4,47,181750,157872,146688,137472,1124,1202,182874,159074,7,6,52.62,51.7,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-003-trial-03,paired-003,3,codex-local-exec,parser-bugfix,true,true,1,1,0,0,true,true,0,0,4,47,258235,190079,196608,165888,1878,1499,260113,191578,9,7,77.52,63.02,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-004-trial-01,paired-004,1,codex-local-exec,validation-bugfix,true,true,1,1,0,0,true,true,0,0,6,49,238558,170399,205568,149760,1808,1373,240366,171772,9,6,69.2,57.34,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-004-trial-02,paired-004,2,codex-local-exec,validation-bugfix,true,true,1,1,0,0,true,true,0,0,6,49,207470,168231,185088,154880,1428,1222,208898,169453,8,6,61.64,54.44,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-004-trial-03,paired-004,3,codex-local-exec,validation-bugfix,true,true,1,1,0,0,true,true,0,0,6,49,160747,196965,139520,165120,1167,1524,161914,198489,6,7,54.97,60.33,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-005-trial-01,paired-005,1,codex-local-exec,config-bugfix,true,true,1,1,0,0,true,true,0,0,5,48,205670,180963,180224,166912,1411,1236,207081,182199,7,7,59.23,55.22,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-005-trial-02,paired-005,2,codex-local-exec,config-bugfix,true,true,1,1,0,0,true,true,0,0,5,48,197179,169257,164096,156928,1567,1326,198746,170583,7,6,58.0,56.55,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-005-trial-03,paired-005,3,codex-local-exec,config-bugfix,true,true,1,1,0,0,true,true,0,0,5,48,140626,151083,119296,120576,1074,1358,141700,152441,5,5,42.42,54.52,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-006-trial-01,paired-006,1,codex-local-exec,format-bugfix,true,true,1,1,0,0,true,true,0,0,4,47,137142,171603,124416,149760,1032,1373,138174,172976,5,6,47.91,61.75,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-006-trial-02,paired-006,2,codex-local-exec,format-bugfix,true,true,1,1,0,0,true,true,0,0,4,47,199964,164431,177152,151808,1225,1254,201189,165685,7,6,61.45,53.11,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-006-trial-03,paired-006,3,codex-local-exec,format-bugfix,true,true,1,1,0,0,true,true,0,0,4,47,160905,181562,140544,151552,1030,1180,161935,182742,6,7,51.59,51.59,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-007-trial-01,paired-007,1,codex-local-exec,multi-file-serialization-bugfix,true,true,1,1,0,0,true,true,0,0,13,56,231806,160733,189440,119296,1617,1121,233423,161854,8,6,62.58,50.73,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-007-trial-02,paired-007,2,codex-local-exec,multi-file-serialization-bugfix,true,true,1,1,0,0,true,true,0,0,13,56,190711,166715,154880,153856,1229,1258,191940,167973,7,6,55.72,51.08,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-007-trial-03,paired-007,3,codex-local-exec,multi-file-serialization-bugfix,true,true,1,1,0,0,true,true,0,0,13,56,208191,173847,186112,161024,1361,1531,209552,175378,8,6,58.91,52.55,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
