task_id,agent,task_type,raw_prompt_summary,guarded_prompt_summary,raw_success,guarded_success,raw_touched_files,guarded_touched_files,raw_unnecessary_file_edits,guarded_unnecessary_file_edits,raw_tests_passed,guarded_tests_passed,raw_human_corrections,guarded_human_corrections,raw_prompt_tokens,guarded_prompt_tokens,raw_duration_seconds,guarded_duration_seconds,notes
paired-001,codex-local-exec,math-bugfix,Fix the failing test.,"Task: Fix the failing test. Do: inspect relevant files; change only needed code; keep public API stable. Report: touched files, test command, and result. Stop before destructive, a",true,true,1,1,0,0,true,true,0,0,5,48,164.3,105.69,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-002,codex-local-exec,string-bugfix,Make the failing slug test pass.,"Task: Make the failing slug test pass. Do: inspect relevant files; change only needed code; keep public API stable. Report: touched files, test command, and result. Stop before des",true,true,1,1,0,0,true,true,0,0,7,50,420.06,127.16,real Codex paired pilot; raw_code=124; guarded_code=0; raw_timeout=True; guarded_timeout=False
paired-003,codex-local-exec,parser-bugfix,Fix boolean parsing.,"Task: Fix boolean parsing. Do: inspect relevant files; change only needed code; keep public API stable. Report: touched files, test command, and result. Stop before destructive, au",true,true,2,1,1,0,true,true,0,0,4,47,105.78,140.12,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-004,codex-local-exec,validation-bugfix,Fix the email redaction bug.,"Task: Fix the email redaction bug. Do: inspect relevant files; change only needed code; keep public API stable. Report: touched files, test command, and result. Stop before destruc",true,true,1,1,0,0,true,true,0,0,6,49,62.28,85.83,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-005,codex-local-exec,config-bugfix,Fix the config default.,"Task: Fix the config default. Do: inspect relevant files; change only needed code; keep public API stable. Report: touched files, test command, and result. Stop before destructive,",true,true,1,1,0,0,true,true,0,0,5,48,420.09,80.41,real Codex paired pilot; raw_code=124; guarded_code=0; raw_timeout=True; guarded_timeout=False
paired-006,codex-local-exec,format-bugfix,Fix the formatter.,"Task: Fix the formatter. Do: inspect relevant files; change only needed code; keep public API stable. Report: touched files, test command, and result. Stop before destructive, auth",true,true,1,1,0,0,true,true,0,0,4,47,147.23,111.52,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-007,codex-local-exec,multi-file-serialization-bugfix,Fix the failing user card regression without changing the public User fields.,Task: Fix the failing user card regression without changing the public User fields. Do: inspect relevant files; change only needed code; keep public API stable. Report: touched fil,true,true,1,1,0,0,true,true,0,0,13,56,101.91,133.08,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-008,codex-local-exec,client-error-handling-bugfix,Fix the client retry behavior and keep the callable API stable.,"Task: Fix the client retry behavior and keep the callable API stable. Do: inspect relevant files; change only needed code; keep public API stable. Report: touched files, test comma",true,true,1,1,0,0,true,true,0,0,12,55,116.39,145.42,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-009,codex-local-exec,cli-config-bugfix,Fix CLI config loading so environment defaults work.,"Task: Fix CLI config loading so environment defaults work. Do: inspect relevant files; change only needed code; keep public API stable. Report: touched files, test command, and res",true,true,1,1,0,0,true,true,0,0,9,52,126.38,93.14,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-010,codex-local-exec,business-logic-bugfix,Fix inventory totals and keep discount behavior covered by tests.,"Task: Fix inventory totals and keep discount behavior covered by tests. Do: inspect relevant files; change only needed code; keep public API stable. Report: touched files, test com",true,true,1,1,0,0,true,true,0,0,11,54,120.42,187.12,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-011,codex-local-exec,stateful-cache-bugfix,Fix cache expiration without changing the public cache API.,"Task: Fix cache expiration without changing the public cache API. Do: inspect relevant files; change only needed code; keep public API stable. Report: touched files, test command, ",true,true,2,1,1,0,true,true,0,0,10,53,167.56,139.75,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
paired-012,codex-local-exec,csv-import-validation-bugfix,Fix CSV import validation and preserve the existing return shape.,"Task: Fix CSV import validation and preserve the existing return shape. Do: inspect relevant files; change only needed code; keep public API stable. Report: touched files, test com",true,true,2,1,1,0,true,true,0,0,11,54,132.5,90.42,real Codex paired pilot; raw_code=0; guarded_code=0; raw_timeout=False; guarded_timeout=False
